"","Binomial","Wild","elton_BodyMass.Value_g","Trophic_Level","pantheria_AdultBodyMass_g","pantheria_TrophicLevel","pantheria_GestationLen_d","pantheria_MaxLongevity_m","amniota_adult_body_mass_g","amniota_gestation_d","amniota_maximum_longevity_y","diet2_TrophicLevel"
"84","Lasiurus_borealis","Wild",10.74,"Carnivores",12.33,3,84.21,NA,13,80,2.575,"Carnivore"
"85","Lasiurus_cinereus","Wild",25.28,"Carnivores",27.06,3,57.18,25.2,26.03,56,14,"Carnivore"
"86","Myotis_californicus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Myotis_ciliolabrum","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Myotis_evotis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Myotis_keenii","Wild",6.27,"Carnivores",6.51,NA,NA,222,6.255,50,19,"Carnivore"
"90","Myotis_leibii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Myotis_lucifugus","Wild",7.65,"Carnivores",7.8,3,59.79,408,7.15,57.395,34,"Carnivore"
"92","Myotis_septentrionalis","Wild",7.74,"Carnivores",NA,NA,NA,NA,6,50,19,"Carnivore"
"93","Myotis_thysanodes","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Myotis_volans","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Myotis_yumanensis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Perimyotis_subflavus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Didelphis_virginiana","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Lepus_americanus","Wild",1710.02,"Herbivores",1568.42,1,36.57,96,1565.61,36.85096,8,"Herbivore"
"99","Lepus_arcticus","Wild",4405.04,"Omnivores",4412.73,1,51.99,84,3030.43,50.2194,18,"Omnivore"
"100","Lepus_townsendii","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Sylvilagus_floridanus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
