"","UUID","Binomial","hwi","range_size","diet","mean_adult_body_mass_g","BodySize","LifeSpan","mean_longevity_y","TrophicLevel"
"78","e0235154-ab82-4e1b-9cb7-9abffd0de854","Sitta_carolinensis",31.19303895,859,"invertebrates",21,0.00203883495145631,9.834,9.833333333,3
"79","0374e0b1-234f-449a-818c-b5f083056f17","Sitta_canadensis",26.15590175,763,"omnivore",10.35,0.00100485436893204,7.5,7.5,2
"80","1151254c-a677-4403-ac13-9a04bfa60273","Sialia_currucoides",36.60191077,478,"invertebrates",29.6,0.00287378640776699,9,9,3
"81","8cbcf3f0-a3a8-4c25-92cf-d00df9dddc9e","Selasphorus_rufus",66.98648252,446,"nectar",3.5,0.000339805825242718,8.916666667,8.9,1
"82","b16a4d1a-3e9e-4938-b0d2-7703adf35b64","Seiurus_aurocapilla",24.59156882,794,"invertebrates",19.4,0.00188349514563107,11,9,3
"83","b249b5b5-7891-4796-a02e-5ed4a7502520","Sayornis_saya",25.60560193,735,"invertebrates",21,0.00203883495145631,5,5,3
"84","dfbd42e8-c218-453d-9684-87c478390364","Riparia_riparia",48.76621436,4317,"invertebrates",13.4,0.00130097087378641,10,8,3
"85","c9da3385-7a30-46f8-b61e-6d4dea5253e4","Regulus_calendula",21.99060368,1000,"invertebrates",6.575,0.000638349514563107,5.6,5.6,3
"86","9420a104-d74c-458c-b98e-dea580a08a0a","Recurvirostra_americana",47.79194265,594,"invertebrates",309.25,0.0300242718446602,15,9.583333333,3
"87","15b47105-202b-48d2-89dc-32708a83024e","Quiscalus_quiscula",25.32908046,829,"omnivore",111,0.0107766990291262,23.1,22.9,2
"88","6d7b10e0-7e13-44d9-b306-5adddec71b88","Psaltriparus_minimus",19.4245801,301,"invertebrates",5.3,0.000514563106796117,9.083333333,8.4,3
"89","2f930a6d-cb50-4648-842b-541502ad6b8d","Progne_subis",51.29183369,650,"invertebrates",51.45,0.00499514563106796,13.8,13.8,3
"90","e160ff55-6c80-4b0d-8ec1-1c54bbf59f6b","Porzana_carolina",33.34927211,1136,"omnivore",79.65,0.00773300970873787,NA,NA,2
"91","6d100bd7-f272-49a7-8de4-c64a603bc1f3","Pooecetes_gramineus",23.84896143,746,"omnivore",25.15,0.00244174757281553,7.9,7.491666667,2
"92","47152a79-a0bb-4500-aeeb-d8e48aea330a","Poecile_rufescens",17.79640335,135,"invertebrates",9.7,0.000941747572815534,9.5,8.4,3
"93","fadef1d9-3fda-4f2e-95cc-ad642ded1dc9","Poecile_gambeli",19.19684665,294,"invertebrates",11.5185,0.00111830097087379,10.1,10.1,3
"94","939e48f9-fc90-41f7-8cdc-0328de4facd2","Podilymbus_podiceps",34.00514456,2102,"invertebrates",440,0.0427184466019418,NA,NA,3
"95","68563b42-5399-4a42-84fd-5d7bfc18e343","Piranga_olivacea",32.32319079,289,"invertebrates",28.825,0.00279854368932039,11.91666667,10.1,3
"96","9ed6eeb7-50f7-4f93-b3f4-59db213f9948","Piranga_ludoviciana",28.32087177,410,"invertebrates",30,0.0029126213592233,15.3,7.9,3
"97","4fd78328-1eec-4395-ab84-fa8a5e526fc9","Pipilo_maculatus",13.4809793,436,"invertebrates",39.85,0.00386893203883495,12.3,11,3
"98","245bd5fe-9894-48e8-871c-e603f3e1529d","Pheucticus_melanocephalus",23.80739414,454,"invertebrates",45.55,0.00442233009708738,25,11.91666667,3
"99","d7bc9d8e-61b8-4637-9b3f-390acbe11298","Pheucticus_ludovicianus",27.59665447,415,"invertebrates",45.1,0.00437864077669903,24,7.3,3
"100","07b2a328-0773-4c3f-820a-8f02f7b74a52","Passerina_cyanea",22.61699306,569,"seeds",14.7,0.00142718446601942,11,11,1
"101","aca760d5-0d43-4c3f-bcfb-1bd3e338ca8a","Passerina_amoena",23.12871457,277,"omnivore",15.15,0.00147087378640777,9.916666667,8.9,2
"102","26f58e6d-8fe3-4666-b344-e6ef3fcbd584","Passerella_iliaca",26.07694269,793,"omnivore",33.8,0.00328155339805825,10.33333333,10,2
"103","1cb89991-d42e-42d4-909a-937b444079c4","Passerculus_sandwichensis",24.106621,1332,"omnivore",20.125,0.00195388349514563,6.916666667,6.8583333335,2
"104","318b50f0-4289-4c75-b7ca-4c6f24dffba0","Pandion_haliaetus",42.15807269,4156,"vertebrates",1527.5,0.148300970873786,32,25,3
"105","23b72a37-840f-47b8-8542-8ebf729a4435","Oporornis_agilis",30.42361782,321,"invertebrates",15.25,0.00148058252427184,4.34,4.3,3
"106","cc1eebcc-9009-4b6e-a4ac-4beced205a89","Numenius_americanus",49.68466006,214,"invertebrates",635.75,0.0617233009708738,10,10,3
"107","4274d460-5c42-4445-b0a8-bbd0cf12ac1a","Nucifraga_columbiana",33.3697849,268,"seeds",130,0.012621359223301,17.41666667,17.4,1
"108","e30224a2-838a-4c5f-bdca-ed51604d0792","Myadestes_townsendi",29.87505863,423,"invertebrates",33.475,0.00325,NA,NA,3
"109","d87b94fc-d52a-4928-a8ab-4dbb5856a2de","Molothrus_ater",32.97972379,1109,"invertebrates",42.55,0.00413106796116505,16.91666667,16.9,3
"110","00e3b193-2eef-45d5-947c-84d5fc2a908c","Mimus_polyglottos",20.49604663,997,"omnivore",48.5,0.00470873786407767,20,20,2
"111","82fb3198-98db-419a-9e57-c3fa2a52543d","Melospiza_melodia",20.63416854,1165,"omnivore",23.35,0.00226699029126214,12,11.15,2
"112","039649f7-81ae-4161-bad4-e84059795b44","Melospiza_lincolnii",22.32394026,796,"omnivore",17.4,0.00168932038834951,7.6,7.6,2
