"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"105","Oporornis_agilis",30.42361782,"invertebrates",15.25,4.34,4.3,"forest"
"106","Numenius_americanus",49.68466006,"invertebrates",635.75,10,10,"shore+grasslands"
"107","Nucifraga_columbiana",33.3697849,"seeds",130,17.41666667,17.4,"forest"
"108","Myadestes_townsendi",29.87505863,"invertebrates",33.475,NA,NA,"forest"
"109","Molothrus_ater",32.97972379,"invertebrates",42.55,16.91666667,16.9,"other"
"110","Mimus_polyglottos",20.49604663,"omnivore",48.5,20,20,"other"
"111","Melospiza_melodia",20.63416854,"omnivore",23.35,12,11.15,"other"
"112","Melospiza_lincolnii",22.32394026,"omnivore",17.4,7.6,7.6,"other"
"113","Melospiza_georgiana",19.1457063,"omnivore",16.7875,6.5833333335,5.416666667,"wetlands"
"114","Melanerpes_erythrocephalus",29.08493297,"invertebrates",71.6,10,9.916666667,"forest"
"115","Loxia_curvirostra",34.69451921,"plants",39.5,16.08333333,8,"forest"
"116","Limosa_fedoa",52.49194821,"invertebrates",370.25,13.7,8.6,"shore"
"117","Larus_delawarensis",56.24865042,"omnivore",518.5,31.8,28.58333333,"wetlands"
"118","Larus_argentatus
",55.88318196,NA,1085,49,32.083,NA
"119","Lanius_ludovicianus",22.27728001,"invertebrates",47.225,12.5,12.5,"grasslands"
"120","Junco_hyemalis",22.12436869,"seeds",19.475,11.33333333,10.75,"forest"
"121","Ixoreus_naevius",33.4020217,"invertebrates",79.225,5.6,4.8,"forest"
"122","Hylocichla_mustelina",26.83527058,"invertebrates",48.65,10.16666667,8.9,"forest"
"123","Hirundo_rustica",51.1705325,"invertebrates",19,16,13.50166667,"grasslands"
"124","Geothlypis_trichas",16.06630498,"invertebrates",9.666666667,11.5,9.916666667,"wetlands"
"125","Gavia_immer",49.26602473,"vertebrates",4400,24.08333333,20,"wetlands"
"126","Euphagus_cyanocephalus",31.20695373,"invertebrates",62.65,12.5,12.5,"other"
"127","Eremophila_alpestris",39.01121291,"omnivore",34.25,8,7.916666667,"grasslands"
"128","Empidonax_flaviventris",24.10703597,"invertebrates",11.85,5,4,"forest"
"129","Dolichonyx_oryzivorus",35.3903016,"seeds",34.45,9,9,"grasslands"
"130","Cyanocitta_stelleri",14.21874135,"omnivore",120,16.1,16.09166667,"forest"
"131","Corvus_brachyrhynchos",35.21660781,"omnivore",453,20,14.6,"other"
"132","Contopus_virens",30.91516786,"invertebrates",13.95,8.2,7.1,"forest"
"133","Contopus_sordidulus",33.44738242,"invertebrates",12.85,8.1,7,"forest"
"134","Contopus_cooperi",37.84019385,"invertebrates",32.76666667,11.08333333,7.1,"forest"
"135","Coccyzus_americanus",42.99572377,"invertebrates",61,5,5,"forest"
"136","Coccothraustes_vespertinus",34.20789469,"omnivore",59.5,17,15.3,"forest"
"137","Cistothorus_platensis",13.35736469,"invertebrates",8.55,NA,NA,"wetlands"
"138","Cistothorus_palustris",19.98367135,"invertebrates",11.25,NA,NA,"wetlands"
"139","Charadrius_vociferus",52.61916019,"invertebrates",94.275,10.91666667,10.9,"shore"
"140","Certhia_americana",24.09652218,"invertebrates",9,8.166666667,4.6,"forest"
"141","Catharus_ustulatus",31.65355361,"invertebrates",30.06666667,12.08333333,11,"forest"
"142","Catharus_guttatus",26.51338971,"invertebrates",30.55,10.83333333,8.7,"forest"
"143","Catharus_fuscescens",27.74377649,"invertebrates",31.925,10.1,10.1,"forest"
"144","Cathartes_aura",26.89008054,"carnivore",1776,20.8,16.83333333,"forest"
"145","Cardinalis_cardinalis",15.27537134,"omnivore",43.05,28.5,15.8,"forest"
"146","Calcarius_ornatus",26.71589125,"seeds",20.125,4,4,"grasslands"
"147","Butorides_virescens",32.00583037,"vertebrates",198,7.916666667,7.908333333,"wetlands"
"148","Buteo_swainsoni",46.64549342,"vertebrates",969.57,24.08333333,16,"grasslands"
"149","Buteo_platypterus",36.87124199,"vertebrates",437,18.33333333,16.32,"forest"
"150","Buteo_lineatus",33.42846176,"vertebrates",616,22.41666667,20,"forest"
"151","Buteo_jamaicensis",34.08031115,"vertebrates",1126,30.66666667,25.5,"forest"
"152","Bonasa_umbellus",38.30210753,"plants",532,11,8.5,"forest"
"153","Bombycilla_cedrorum",35.59548638,"fruit",32.04816667,12.66666667,7.6,"other"
"154","Bartramia_longicauda",52.82185426,"invertebrates",152.25,8.916666667,7.05,"shore+grasslands"
"155","Asio_flammeus",47.4820753,"vertebrates",343.75,21.8,12.9,"grasslands"
"156","Archilochus_colubris",65.01476926,"nectar",3.1425,9.1,9,"forest"
"157","Anthus_spragueii",26.36121198,"invertebrates",25.4,NA,NA,"grasslands"
"158","Aix_sponsa",49.40426036,"seeds",657.5,22.5,22.5,"lakes/ponds"
"159","Agelaius_phoeniceus",23.98514879,"seeds",54,20,15.8,"wetlands"
"160","Actitis_macularius",47.4805593,"invertebrates",41.85833333,12,12,"shore"
"161","Vireo_huttoni",17.07827039,"invertebrates",11.3,13.5,6.5,"forest"
"162","Tringa_solitaria",49.7225619,"invertebrates",48.5,NA,NA,"shore+forest"
"163","Spizella_breweri",20.48082069,"omnivore",10.9,6.2,5.2,"other"
"164","Meleagris_gallopavo",25.98130925,"omnivore",5811,13,12.75,NA
"165","Melanerpes_carolinus",28.77274166,"omnivore",71.775,20.7,12.1,NA
"166","Loxia_leucoptera",35.73758478,"omnivore",29.8,4,4,"forest"
"167","Larus_canus",60.7418203,"vertebrates",415.75,33.7,27.91833333,"wetlands"
"168","Icterus_spurius",26.87028848,"invertebrates",20.05,10.91666667,9.6,"other"
"169","Hydroprogne_caspia",66.22319893,"vertebrates",654.6666667,30,29.79166667,"wetlands"
"170","Gallinago_delicata",46.49180106,NA,116,18.2,10.81666667,"shore"
"171","Falcipennis_canadensis",34.84891707,"plants",456,13,13,"forest"
"172","Empidonax_minimus",22.81592337,"invertebrates",10.275,8,8,"forest"
"173","Colaptes_auratus",26.10895043,"invertebrates",130.6716667,12.5,9.183333333,"forest"
"174","Chondestes_grammacus",28.84790552,"seeds",28.52475,7.833333333,7.8,"other"
"175","Chaetura_vauxi",69.1572611,"invertebrates",18.225,5.1,5.091666667,"forest"
"176","Calamospiza_melanocorys",24.31225511,"omnivore",37.4,4.833333333,4,"grasslands"
"177","Sphyrapicus_varius",33.85012599,"invertebrates",50.3,7.75,6.8,"forest"
