Binomial,Class,Order,Family,body_mass_g,SVL_mm,longevity_years,diet,clutch_size_n,offspring_size_mm,age_maturity_years,lpi
Lithobates_palustris,Amphibians - Amphibiens,Anura,Ranidae,NA,87,NA,NA,1616,1.6,NA,lpi
Lithobates_pipiens,Amphibians - Amphibiens,Anura,Ranidae,39.2,165,9,NA,5522.5,2,1.5,lpi
Lithobates_septentrionalis,Amphibians - Amphibiens,Anura,Ranidae,25.9,76,6,carnivore,1375,1.7,1.75,lpi
Lithobates_sylvaticus,Amphibians - Amphibiens,Anura,Ranidae,17.6,83,5.2,carnivore,1750,2,1.85,lpi
Rana_aurora,Amphibians - Amphibiens,Anura,Ranidae,NA,131,15,NA,1725,3.6,2.5,lpi
Rana_luteiventris,Amphibians - Amphibiens,Anura,Ranidae,68,90,13,carnivore,1275,2.1,2.5,not_lpi
Rana_pretiosa,Amphibians - Amphibiens,Anura,Ranidae,NA,100,NA,carnivore,797.5,2.2,2,lpi
Ambystoma_gracile,Amphibians - Amphibiens,Caudata,Ambystomatidae,6.4,219,10.2,carnivore,150,2,2,lpi
Ambystoma_jeffersonianum,Amphibians - Amphibiens,Caudata,Ambystomatidae,17.2,210,3,NA,210,2.25,2.5,lpi
Ambystoma_laterale,Amphibians - Amphibiens,Caudata,Ambystomatidae,NA,129,13,NA,NA,NA,2,not_lpi
Ambystoma_macrodactylum,Amphibians - Amphibiens,Caudata,Ambystomatidae,5.33,248,10,carnivore,250.5,2.15,2,lpi
Ambystoma_maculatum,Amphibians - Amphibiens,Caudata,Ambystomatidae,24,248,32,NA,257,2.4,2.5,lpi
Ambystoma_mavortium,Amphibians - Amphibiens,Caudata,Ambystomatidae,5,NA,32,NA,NA,NA,NA,lpi
Ambystoma_texanum,Amphibians - Amphibiens,Caudata,Ambystomatidae,10.98,178,13.8,carnivore,625,2.05,NA,not_lpi
Ambystoma_tigrinum,Amphibians - Amphibiens,Caudata,Ambystomatidae,79,330,25,carnivore,3710.5,2.5,NA,not_lpi
Dicamptodon_tenebrosus,Amphibians - Amphibiens,Caudata,Dicamptodontidae,NA,340,NA,carnivore,114.5,NA,NA,not_lpi
Aneides_vagrans,Amphibians - Amphibiens,Caudata,Plethodontidae,NA,130,NA,carnivore,7.5,NA,2.5,not_lpi
Desmognathus_fuscus,Amphibians - Amphibiens,Caudata,Plethodontidae,1.5,100.5,4.3,carnivore,26.5,2.875,3,lpi
Desmognathus_ochrophaeus,Amphibians - Amphibiens,Caudata,Plethodontidae,0.6,90.5,20,NA,20,3.5,3,lpi
Ensatina_eschscholtzii,Amphibians - Amphibiens,Caudata,Plethodontidae,61,149,15,NA,14,NA,2.75,lpi
Eurycea_bislineata,Amphibians - Amphibiens,Caudata,Plethodontidae,1.05,123,NA,carnivore,27.5,2.75,3.5,lpi
Gyrinophilus_porphyriticus,Amphibians - Amphibiens,Caudata,Plethodontidae,10,232,18.5,NA,61,3.75,4,lpi
Hemidactylium_scutatum,Amphibians - Amphibiens,Caudata,Plethodontidae,NA,120,8.9,NA,54.5,2.5,2.2,not_lpi
Plethodon_cinereus,Amphibians - Amphibiens,Caudata,Plethodontidae,65,412,25,carnivore,7.5,3.5,3,lpi
Plethodon_idahoensis,Amphibians - Amphibiens,Caudata,Plethodontidae,NA,130,NA,NA,NA,4.5,NA,not_lpi
Plethodon_vehiculum,Amphibians - Amphibiens,Caudata,Plethodontidae,46,115,11.1,NA,19,4.5,2.75,lpi
Necturus_maculosus,Amphibians - Amphibiens,Caudata,Proteidae,220.1,486,34,carnivore,52,5.5,6.5,lpi
Notophthalmus_viridescens,Amphibians - Amphibiens,Caudata,Salamandridae,3.9,140,25,carnivore,287.5,1.5,3,lpi
Taricha_granulosa,Amphibians - Amphibiens,Caudata,Salamandridae,12.32,216,12,carnivore,NA,1.9,4.5,lpi
Elgaria_coerulea,Reptiles - Reptiles,Squamata,Anguidae,25.1,95.28,2.3,carnivore,4.6,32.7,NA,not_lpi
Charina_bottae,Reptiles - Reptiles,Squamata,Boidae,219,NA,11.4,carnivore,5,NA,NA,not_lpi
Coluber_constrictor,Reptiles - Reptiles,Squamata,Colubridae,1594.5,NA,10.15,carnivore,12,NA,NA,not_lpi
Contia_tenuis,Reptiles - Reptiles,Squamata,Colubridae,34,NA,NA,carnivore,5,NA,NA,not_lpi
Diadophis_punctatus,Reptiles - Reptiles,Squamata,Colubridae,161,NA,NA,carnivore,4.1,NA,NA,not_lpi
Heterodon_nasicus,Reptiles - Reptiles,Squamata,Colubridae,350,NA,15,carnivore,13,NA,2,not_lpi
Heterodon_platirhinos,Reptiles - Reptiles,Squamata,Colubridae,601,NA,3.75,carnivore,17,NA,NA,not_lpi
Hypsiglena_chlorophaea,Reptiles - Reptiles,Squamata,Colubridae,104,NA,10.75,carnivore,5,NA,NA,not_lpi
Lampropeltis_triangulum,Reptiles - Reptiles,Squamata,Colubridae,950,NA,17.45,carnivore,7,NA,NA,not_lpi
Nerodia_sipedon,Reptiles - Reptiles,Squamata,Colubridae,1306,644,9.6,carnivore,30,NA,2.000684932,lpi
Opheodrys_vernalis,Reptiles - Reptiles,Squamata,Colubridae,104,NA,6.1,carnivore,7,NA,NA,not_lpi
Pantherophis_spiloides,Reptiles - Reptiles,Squamata,Colubridae,6561,NA,19.96666667,carnivore,14,NA,4,not_lpi
Pantherophis_vulpinus,Reptiles - Reptiles,Squamata,Colubridae,2227,NA,12.2,carnivore,18,NA,NA,not_lpi
Pituophis_catenifer,Reptiles - Reptiles,Squamata,Colubridae,7275.5,NA,15.8,carnivore,5.5,NA,NA,not_lpi
Regina_septemvittata,Reptiles - Reptiles,Squamata,Colubridae,298,NA,19.3,carnivore,11,NA,3,not_lpi
Storeria_dekayi,Reptiles - Reptiles,Squamata,Colubridae,45,231,7,carnivore,11.8,NA,2,lpi
Storeria_occipitomaculata,Reptiles - Reptiles,Squamata,Colubridae,26,NA,2.2,carnivore,7.5,NA,NA,not_lpi
Thamnophis_butleri,Reptiles - Reptiles,Squamata,Colubridae,125,NA,10,carnivore,12,NA,2.251527397,not_lpi
Thamnophis_elegans,Reptiles - Reptiles,Squamata,Colubridae,400,NA,15.8,carnivore,9.5,NA,NA,not_lpi
Thamnophis_ordinoides,Reptiles - Reptiles,Squamata,Colubridae,329,NA,15.8,carnivore,9,NA,NA,not_lpi
Thamnophis_radix,Reptiles - Reptiles,Squamata,Colubridae,512,NA,6,carnivore,60,NA,NA,not_lpi
Thamnophis_sauritus,Reptiles - Reptiles,Squamata,Colubridae,407,NA,8.6,carnivore,11.5,NA,2,not_lpi
Thamnophis_sirtalis,Reptiles - Reptiles,Squamata,Colubridae,150,553.5714286,8.991666667,carnivore,12.6,NA,2.000328767,lpi
Phrynosoma_hernandesi,Reptiles - Reptiles,Squamata,Phrynosomatidae,22.945,89.38,1.05,carnivore,15,25,NA,not_lpi
Plestiodon_fasciatus,Reptiles - Reptiles,Squamata,Scincidae,6.7,68.46,NA,carnivore,8.25,22.5,NA,lpi
Plestiodon_septentrionalis,Reptiles - Reptiles,Squamata,Scincidae,7.94,73.44,NA,carnivore,9.8,22,NA,not_lpi
Plestiodon_skiltonianus,Reptiles - Reptiles,Squamata,Scincidae,5.09,64.01,NA,carnivore,5.4,25,NA,not_lpi
Crotalus_oreganus,Reptiles - Reptiles,Squamata,Viperidae,1647,NA,18.2,carnivore,8,NA,NA,not_lpi
Crotalus_viridis,Reptiles - Reptiles,Squamata,Viperidae,1647,842,18.2,carnivore,8,NA,NA,lpi
Sistrurus_catenatus,Reptiles - Reptiles,Squamata,Viperidae,384,573.3333333,17,carnivore,8,NA,3.01369863,lpi
Caretta_caretta,Reptiles - Reptiles,Testudines,Cheloniidae,109150,NA,37,omnivore,115,NA,10,not_lpi
Chelonia_mydas,Reptiles - Reptiles,Testudines,Cheloniidae,160000,NA,75,Herbivore,112.5,NA,10,not_lpi
Lepidochelys_kempii,Reptiles - Reptiles,Testudines,Cheloniidae,50000,NA,34.5,omnivore,110,NA,10.50547945,not_lpi
Chelydra_serpentina,Reptiles - Reptiles,Testudines,Chelydridae,5170,NA,39.93333333,omnivore,26.45,NA,7.503452055,lpi
Dermochelys_coriacea,Reptiles - Reptiles,Testudines,Dermochelyidae,420000,NA,30,carnivore,82.3,NA,NA,lpi
Chrysemys_picta,Reptiles - Reptiles,Testudines,Emydidae,371.8,NA,23.3,omnivore,6,NA,5.751616438,lpi
Clemmys_guttata,Reptiles - Reptiles,Testudines,Emydidae,165.4,NA,26,omnivore,4.29,NA,8,lpi
Emydoidea_blandingii,Reptiles - Reptiles,Testudines,Emydidae,1162,NA,44.8375,omnivore,9.6,NA,14.90805479,lpi
Glyptemys_insculpta,Reptiles - Reptiles,Testudines,Emydidae,968.2,NA,58,omnivore,8,NA,16,lpi
Graptemys_geographica,Reptiles - Reptiles,Testudines,Emydidae,1138,NA,12.73333333,carnivore,12,NA,NA,lpi
Sternotherus_odoratus,Reptiles - Reptiles,Testudines,Kinosternidae,137.9,NA,54.8,omnivore,3.025,NA,4.375123288,lpi
Apalone_spinifera,Reptiles - Reptiles,Testudines,Trionychidae,4765,NA,25.2,omnivore,18,NA,9,not_lpi
