"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"121","Gallinago_delicata",46.49180106,NA,116,18.2,10.81666667,"shore"
"122","Limnodromus_griseus",50.33148361,"invertebrates",110.375,13.3,10.38333333,"shore"
"123","Limnodromus_scolopaceus",51.03418134,"invertebrates",108.125,13.3,8.333333333,"shore"
"124","Limosa_fedoa",52.49194821,"invertebrates",370.25,13.7,8.6,"shore"
"125","Limosa_haemastica",57.52505612,"invertebrates",255.5,NA,NA,"shore"
"126","Numenius_americanus",49.68466006,"invertebrates",635.75,10,10,"shore+grasslands"
"127","Numenius_borealis",58.95760261,"invertebrates",368.5,NA,NA,"shore+grasslands"
"128","Numenius_phaeopus",54.44327483,"invertebrates",383,16.1,12.5,"shore"
"129","Phalaropus_fulicarius",50.04677755,"invertebrates",55.9,6.083333333,6.083333333,"shore"
"130","Phalaropus_lobatus",49.33540425,"invertebrates",35,9.917,7.45,"shore"
"131","Phalaropus_tricolor",56.16761913,"invertebrates",59.15,10,10,"shore"
"132","Scolopax_minor",30.63128154,"invertebrates",196.25,20.9,10.31666667,"shore"
"133","Tringa_flavipes",52.77177403,"invertebrates",81.7,4.8,4.75,"shore+forest"
"134","Tringa_incana",55.25403638,"invertebrates",111.25,NA,NA,"shore"
"135","Tringa_melanoleuca",50.19438966,"invertebrates",170,NA,NA,"shore+forest"
"136","Tringa_semipalmata",47.61371616,"invertebrates",NA,NA,NA,"shore+grasslands"
"137","Tringa_solitaria",49.7225619,"invertebrates",48.5,NA,NA,"shore+forest"
"138","Stercorarius_longicaudus",63.77772644,"vertebrates",298,22,11,"wetlands+oceans"
"139","Stercorarius_maccormicki",49.96331126,"vertebrates",1382.5,34.5,23.5,"oceans"
"140","Stercorarius_parasiticus",59.22794234,"vertebrates",450,31.1,24.58333333,"wetlands+oceans"
"141","Stercorarius_pomarinus",59.84260172,"vertebrates",694,NA,NA,"wetlands+oceans"
"142","Stercorarius_skua",53.34132357,"vertebrates",1420.25,34.5,32.86,"oceans"
"143","Ardea_alba",25.69595542,"vertebrates",873.5,22.834,22.815,NA
"144","Ardea_herodias",36.60308177,"vertebrates",2388.666667,24.5,23.3,"wetlands"
"145","Botaurus_lentiginosus",32.02261928,"vertebrates",706,8.333333333,8.3,"wetlands"
"146","Bubulcus_ibis",26.99559227,"invertebrates",372,23,18.41666667,"wetlands"
"147","Butorides_virescens",32.17319219,"vertebrates",212,11.6,7.916666667,"wetlands"
"148","Egretta_thula",31.8785329,"omnivore",370,22.834,20.2,"wetlands"
"149","Ixobrychus_exilis",29.01242306,"vertebrates",86.3,NA,NA,"wetlands"
"150","Nycticorax_nycticorax",33.03518541,"vertebrates",800,21.1,21.08333333,"wetlands"
"151","Plegadis_chihi",38.62146521,"invertebrates",583.75,20.4,14.5,"wetlands"
"152","Patagioenas_fasciata",36.2347931,"seeds",352.5,29.2,18.5,"forest"
"153","Zenaida_macroura",35.14090075,"seeds",119,31.33333333,19.33333333,"other"
"154","Megaceryle_alcyon",33.59666673,"vertebrates",152.1666667,NA,NA,"wetlands"
"155","Coccyzus_americanus",42.99572377,"invertebrates",61,5,5,"forest"
"156","Coccyzus_erythropthalmus",40.74626732,"invertebrates",49.57333333,5,5,"forest"
"157","Accipiter_cooperii",32.25656531,"vertebrates",452,20.33333333,12,"forest"
"158","Accipiter_gentilis",36.49091967,"vertebrates",988.75,22,17.70833333,"forest"
"159","Accipiter_striatus",32.52265538,"vertebrates",138.5,19.9,12.58333333,"forest"
"160","Aquila_chrysaetos",36.97446098,"vertebrates",4383,48,32,"grasslands"
"161","Buteo_jamaicensis",34.08031115,"vertebrates",1126,30.66666667,25.5,"forest"
"162","Buteo_lagopus",41.83607961,"vertebrates",945.5,18.8,17.9,"grasslands"
"163","Buteo_lineatus",33.42846176,"vertebrates",616,22.41666667,20,"forest"
"164","Buteo_platypterus",36.87124199,"vertebrates",437,18.33333333,16.32,"forest"
"165","Buteo_regalis",41.30660274,"vertebrates",1469.5,23.7,20,"grasslands"
"166","Buteo_swainsoni",46.64549342,"vertebrates",969.57,24.08333333,16,"grasslands"
"167","Circus_cyaneus",44.50379949,"vertebrates",436.5,17.1,16.74983333,NA
"168","Haliaeetus_leucocephalus",41.38358163,"vertebrates",4740,48,32.96666667,"forest"
"169","Pandion_haliaetus",42.15807269,"vertebrates",1527.5,32,25,"other"
"170","Cathartes_aura",26.89008054,"carnivore",1776,20.8,16.83333333,"forest"
"171","Falco_columbarius",48.89752575,"vertebrates",187.575,16,12.5,"forest"
"172","Falco_mexicanus",50.50870124,"vertebrates",754.5,20,13,"grasslands"
"173","Falco_peregrinus",55.42239926,"vertebrates",827.25,25,17.33666667,"shore"
"174","Falco_rusticolus",47.4893525,"vertebrates",1415.75,13.5,12.917,"other"
"175","Falco_sparverius",43.67634239,"omnivore",115.5,17,14,"grasslands"
"176","Colinus_virginianus",27.66923741,"seeds",173.3333333,6.416666667,6.4,"grasslands"
"177","Bonasa_umbellus",38.30210753,"plants",532,11,8.5,"forest"
"178","Centrocercus_urophasianus",38.69109716,"plants",1930,7,7,"grasslands"
"179","Dendragapus_fuliginosus",39.85717226,"plants",1059,14,12.5,"forest"
"180","Dendragapus_obscurus",39.4410669,"plants",1059,14,12.5,"forest"
"181","Falcipennis_canadensis",34.84891707,"plants",456,13,13,"forest"
"182","Lagopus_lagopus",39.00870335,"plants",595,9,8.583166667,"other"
"183","Lagopus_leucura",40.42034183,"plants",351,15,15,"other"
"184","Lagopus_muta",46.14753282,"plants",521,6.083333333,6.083333333,"other"
"185","Meleagris_gallopavo",25.98130925,"omnivore",5811,13,12.75,NA
"186","Tympanuchus_phasianellus",39.61627015,"plants",851,7.5,6.316666667,"grasslands"
"187","Gavia_adamsii",50.99471121,"vertebrates",5212.5,30,18,"wetlands"
"188","Gavia_immer",49.26602473,"vertebrates",4400,24.08333333,20,"wetlands"
"189","Gavia_pacifica",47.8343724,"vertebrates",2665,28,28,"wetlands"
"190","Gavia_stellata",47.54076882,"vertebrates",1603,23.7,23.58333333,"wetlands"
"191","Grus_americana",42.71799088,"vertebrates",6850,40,30,"wetlands"
"192","Grus_canadensis",43.74103352,"omnivore",4170,36.58333333,21.5,NA
"193","Coturnicops_noveboracensis",25.97179324,"invertebrates",60.9,NA,NA,"wetlands"
"194","Fulica_americana",39.66697707,"omnivore",620.5,22.33333333,22.3,"wetlands"
"195","Porzana_carolina",33.34927211,"omnivore",79.65,NA,NA,"wetlands"
"196","Rallus_elegans",24.5987856,"vertebrates",360.5,NA,NA,"wetlands"
"197","Rallus_limicola",29.03649008,"omnivore",84.1,NA,NA,"wetlands"
"198","Psaltriparus_minimus",19.4245801,"invertebrates",5.3,9.083333333,8.4,NA
"199","Eremophila_alpestris",39.01121291,"omnivore",34.25,8,7.916666667,"grasslands"
"200","Bombycilla_cedrorum",35.59548638,"fruit",32.04816667,12.66666667,7.6,"other"
"201","Bombycilla_garrulus",35.77119506,"fruit",54.45,13.5,5.833333333,"forest"
"202","Cardinalis_cardinalis",15.27537134,"omnivore",43.05,28.5,15.8,"forest"
"203","Passerina_amoena",23.12871457,"omnivore",15.15,9.916666667,8.9,"other"
"204","Passerina_cyanea",22.61699306,"seeds",14.7,11,11,"other"
"205","Pheucticus_ludovicianus",27.59665447,"invertebrates",45.1,24,7.3,"forest"
"206","Pheucticus_melanocephalus",23.80739414,"invertebrates",45.55,25,11.91666667,"forest"
"207","Piranga_ludoviciana",28.32087177,"invertebrates",30,15.3,7.9,"forest"
"208","Piranga_olivacea",32.32319079,"invertebrates",28.825,11.91666667,10.1,"forest"
"209","Certhia_americana",24.09652218,"invertebrates",9,8.166666667,4.6,"forest"
"210","Cinclus_mexicanus",26.52097699,"invertebrates",55.9,7.25,5.1,"wetlands"
"211","Corvus_brachyrhynchos",35.21660781,"omnivore",453,20,14.6,"other"
"212","Corvus_caurinus",37.85588284,"omnivore",295.75,16.75,16.68333333,"other"
"213","Corvus_corax",33.33172662,"omnivore",1097,69,21.8335,"other"
"214","Cyanocitta_cristata",16.85516594,"omnivore",85.25,26.2,18.3,"other"
"215","Cyanocitta_stelleri",14.21874135,"omnivore",120,16.1,16.09166667,"forest"
"216","Nucifraga_columbiana",33.3697849,"seeds",130,17.41666667,17.4,"forest"
"217","Perisoreus_canadensis",18.75920105,"omnivore",71.1,19.2,17.16666667,"forest"
"218","Pica_hudsonia",25.09605088,"omnivore",189,21.7,9.333333333,"other"
"219","Ammodramus_bairdii",18.92741478,"seeds",17.9,4.6,4.591666667,"grasslands"
"220","Ammodramus_henslowii",15.65940795,"omnivore",12.775,7,6.5,"grasslands"
"221","Ammodramus_leconteii",18.78894799,"seeds",13.4,4.083333333,4.083333333,"grasslands"
"222","Ammodramus_nelsoni",21.93314803,"invertebrates",16.825,10,10,"wetlands"
"223","Ammodramus_savannarum",21.07267329,"invertebrates",17.9,9.083333333,5.1,"grasslands"
"224","Calamospiza_melanocorys",24.31225511,"omnivore",37.4,4.833333333,4,"grasslands"
"225","Calcarius_lapponicus",30.83074243,"omnivore",28,6,5,"other"
"226","Calcarius_ornatus",26.71589125,"seeds",20.125,4,4,"grasslands"
"227","Calcarius_pictus",28.11385284,"omnivore",26.4,5,5,"other"
"228","Chondestes_grammacus",28.84790552,"seeds",28.52475,7.833333333,7.8,"other"
"229","Junco_hyemalis",22.12436869,"seeds",19.475,11.33333333,10.75,"forest"
"230","Melospiza_georgiana",19.1457063,"omnivore",16.7875,6.5833333335,5.416666667,"wetlands"
"231","Melospiza_lincolnii",22.32394026,"omnivore",17.4,7.6,7.6,"other"
"232","Melospiza_melodia",20.63416854,"omnivore",23.35,12,11.15,"other"
"233","Passerculus_sandwichensis",24.106621,"omnivore",20.125,6.916666667,6.8583333335,"grasslands"
"234","Passerella_iliaca",26.07694269,"omnivore",33.8,10.33333333,10,"forest"
"235","Pipilo_erythrophthalmus",13.55637346,"omnivore",40.3,12.3,11.81666667,"other"
"236","Pipilo_maculatus",13.4809793,"invertebrates",39.85,12.3,11,"other"
"237","Plectrophenax_nivalis",39.31767243,"seeds",40.33333333,9.6,8.8,"other"
"238","Pooecetes_gramineus",23.84896143,"omnivore",25.15,7.9,7.491666667,"grasslands"
"239","Spizella_arborea",19.93473176,"omnivore",NA,NA,NA,NA
"240","Spizella_breweri",20.48082069,"omnivore",10.9,6.2,5.2,"other"
"241","Spizella_pallida",18.58062976,"seeds",11.7,6.916666667,6,"other"
"242","Spizella_passerina",24.23119088,"omnivore",12.3,11.8,9.8,"other"
"243","Spizella_pusilla",16.71089323,"seeds",12.8,10.33333333,8.8,"other"
"244","Zonotrichia_albicollis",19.75824595,"omnivore",25.35,14.91666667,9.7,"forest"
"245","Zonotrichia_atricapilla",22.87820513,"omnivore",31.625,10.5,10.5,"other"
"246","Zonotrichia_leucophrys",23.32851331,"invertebrates",27.96,13.34,13.3,"other"
"247","Zonotrichia_querula",23.69162282,"omnivore",35.55,11.7,11.7,"other"
"248","Fringilla_montifringilla",33.32450466,"omnivore",22.925,14.8,14.75,NA
"249","Leucosticte_tephrocotis",36.85577617,"omnivore",32.6,24,6.591666667,"other"
"250","Loxia_curvirostra",34.69451921,"plants",39.5,16.08333333,8,"forest"
"251","Loxia_leucoptera",35.73758478,"omnivore",29.8,4,4,"forest"
"252","Pinicola_enucleator",28.80459559,"omnivore",57,9.8,9.725,"forest"
"253","Hirundo_rustica",51.1705325,"invertebrates",19,16,13.50166667,"grasslands"
"254","Petrochelidon_pyrrhonota",47.58715872,"invertebrates",22.4,11.83333333,11,"lakes/ponds"
"255","Progne_subis",51.29183369,"invertebrates",51.45,13.8,13.8,"lakes/ponds"
"256","Riparia_riparia",48.76621436,"invertebrates",13.4,10,8,"lakes/ponds"
"257","Stelgidopteryx_serripennis",50.91307202,"invertebrates",15.8,5.916666667,5.9,"other"
"258","Tachycineta_bicolor",54.34045018,"invertebrates",20.8,12.1,11,"lakes/ponds"
"259","Tachycineta_thalassina",52.84233302,"invertebrates",14.15,9.083333333,6.8,"forest"
"260","Agelaius_phoeniceus",23.98514879,"seeds",54,20,15.8,"wetlands"
"261","Dolichonyx_oryzivorus",35.3903016,"seeds",34.45,9,9,"grasslands"
"262","Euphagus_carolinus",28.16764035,"omnivore",60.4,8.8,8.8,"forest"
"263","Euphagus_cyanocephalus",31.20695373,"invertebrates",62.65,12.5,12.5,"other"
"264","Icterus_bullockii",26.24683467,"invertebrates",35.225,14,8.9,"other"
"265","Icterus_galbula",27.35522638,"invertebrates",33.9,14,11.6,"other"
"266","Icterus_spurius",26.87028848,"invertebrates",20.05,10.91666667,9.6,"other"
"267","Molothrus_ater",32.97972379,"invertebrates",42.55,16.91666667,16.9,"other"
"268","Quiscalus_quiscula",25.32908046,"omnivore",111,23.1,22.9,"other"
"269","Sturnella_magna",24.80057457,"invertebrates",91.855,12.6,11.66666667,"grasslands"
"270","Sturnella_neglecta",27.80491657,"invertebrates",97.7,10,10,"grasslands"
"271","Xanthocephalus_xanthocephalus",26.9955003,"seeds",72.5,18,11.67,"wetlands"
"272","Lanius_excubitor",22.34152831,"vertebrates",63.98333334,16.1,7.333333333,NA
"273","Lanius_ludovicianus",22.27728001,"invertebrates",47.225,12.5,12.5,"grasslands"
"274","Dumetella_carolinensis",18.65310132,"invertebrates",35.35,17.91666667,10.91666667,"other"
"275","Mimus_polyglottos",20.49604663,"omnivore",48.5,20,20,"other"
"276","Oreoscoptes_montanus",25.98317858,"invertebrates",44.225,NA,NA,"other"
"277","Toxostoma_rufum",13.8886348,"invertebrates",68.65,12.834,12.8,"other"
"278","Anthus_rubescens",28.37522504,"invertebrates",21.18333333,8.916666667,5.1,"other"
"279","Anthus_spragueii",26.36121198,"invertebrates",25.4,NA,NA,"grasslands"
