"Binomial","Genus","Species","FBname","SpecCode","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","Weight","WeightFemale","MaxWeightRef","Median_T","lcl_T","ucl_T","n_T","Herbivory2","DietTroph","DietSeTroph","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","Troph","seTroph","TrophObserved"
"Gadus_morhua","Gadus","morhua","Atlantic cod","69",1371,25,NA,200,"TL",NA,NA,"100","TL",NA,NA,96000,NA,9988,7.5,7.09999990463257,9.10000038146973,61,"mainly animals (troph. 2.8 and up)",4.09,0.179,"Troph of adults from 7 studies.","26813",4.29,1,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.09000015258789,0.179000005125999,TRUE
"Gaidropsarus_argentatus","Gaidropsarus","argentatus","Arctic rockling","8423",9985,NA,NA,35,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.39,0.28,"Troph of juv./adults from 1 study.","41506",3.62,0.56,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.39000010490417,0.280000001192093,TRUE
"Gaidropsarus_ensis","Gaidropsarus","ensis","Threadfin rockling","8425",9985,NA,NA,40,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.38,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.38000011444092,0.490000009536743,TRUE
"Galeorhinus_galeus","Galeorhinus","galeus","Tope shark","4642",244,55,NA,193,"TL","195","TL","160","TL",NA,NA,44670,NA,40637,10,6.5,13.1000003814697,10,"mainly animals (troph. 2.8 and up)",4.34,0.12,"Troph of juv./adults from 41 studies.","33559",4.3,0.78,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.34000015258789,0.119999997317791,TRUE
"Gasterosteus_aculeatus","Gasterosteus","aculeatus","Three-spined stickleback","2420",86798,8,2.42000007629395,11,"TL",NA,NA,"5.099999904632568","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.31,0.177,"Troph of adults from 2 studies.","12070",3.38000011444092,0.4625,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.30999994277954,0.177000001072884,TRUE
"Gasterosteus_wheatlandi","Gasterosteus","wheatlandi","Blackspotted stickleback","3272",7251,1,NA,7.59999990463257,"TL",NA,NA,"3.5","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.28,0.093,"Troph of juv./adults from 6 studies.","47371",3.31,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.27999997138977,0.0930000022053719,TRUE
"Gibbonsia_metzi","Gibbonsia","metzi","Striped kelpfish","3725",2850,NA,NA,24,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.4,0.4,"Troph of juv./adults from 1 study.","58686",3.061,0.26,"Tentative trophic level derived from 1 + troph of a single food item","12671",3.40000009536743,0.400000005960464,TRUE
"Gibbonsia_montereyensis","Gibbonsia","montereyensis","Crevice kelpfish","3726",2850,NA,NA,11,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.44,0.24,"Troph of juv./adults from 1 study.","58686",3.061,0.26,"Tentative trophic level derived from 1 + troph of a single food item","12671",3.44000005722046,0.239999994635582,TRUE
"Gigantactis_vanhoeffeni","Gigantactis","vanhoeffeni",NA,"16995",10761,NA,NA,NA,NA,"62","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46000003814697,0.709999978542328,FALSE
"Glyptocephalus_cynoglossus","Glyptocephalus","cynoglossus","Witch flounder","26",30193,25,NA,60,"SL",NA,NA,NA,NA,NA,NA,2500,NA,35388,5.30000019073486,4.80000019073486,8.19999980926514,13,"mainly animals (troph. 2.8 and up)",3.17,0.15,"Troph of adults from 3 studies.","37512",3.45,0.41,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.17000007629395,0.150000005960464,TRUE
