"Binomial","Genus","Species","FBname","SpecCode","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","Weight","WeightFemale","MaxWeightRef","Median_T","lcl_T","ucl_T","n_T","Herbivory2","DietTroph","DietSeTroph","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","Troph","seTroph","TrophObserved"
"Lamna_nasus","Lamna","nasus","Porbeagle","88",247,65,NA,350,"TL",NA,NA,"244","TL",NA,NA,230000,NA,40637,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.57,NA,"Troph of adults from 1 study.","37512",4.36,0.69,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.46000003814697,0.579999983310699,FALSE
"Lampadena_anomala","Lampadena","anomala","Anomalous lanternfish","7410",4479,NA,NA,18,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21000003814697,0.230000004172325,FALSE
"Lampadena_chavesi","Lampadena","chavesi","Chaves' lanternfish","16667",4479,NA,NA,8,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14000010490417,0.219999998807907,FALSE
"Lampadena_luminosa","Lampadena","luminosa","Luminous lanternfish","7411",4479,NA,NA,20,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22000002861023,0.230000004172325,FALSE
"Lampadena_speculigera","Lampadena","speculigera","Mirror lanternfish","16673",4479,NA,NA,15.3000001907349,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,3.20000004768372,0.219999998807907,FALSE
"Lampadena_urophaos","Lampadena","urophaos","Sunbeam lampfish","7412",7300,NA,NA,14,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19000005722046,0.219999998807907,FALSE
"Lampanyctus_alatus","Lampanyctus","alatus","Winged lanternfish","616",4479,NA,NA,6.09999990463257,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.22,0.32,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.22000002861023,0.319999992847443,TRUE
"Lampanyctus_crocodilus","Lampanyctus","crocodilus","Jewel lanternfish","617",3397,NA,NA,30,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.22,0.39,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.22000002861023,0.389999985694885,TRUE
"Lampanyctus_festivus","Lampanyctus","festivus","Festive lanternfish","16684",4479,NA,NA,13.8000001907349,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,3.23000001907349,0.270000010728836,FALSE
"Lampanyctus_intricarius","Lampanyctus","intricarius","Diamondcheek lanternfish","7001",4479,NA,NA,20,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.4,0.45,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.40000009536743,0.449999988079071,TRUE
"Lampanyctus_jordani","Lampanyctus","jordani","Brokenline lanternfish","23003",5572,NA,NA,14,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,3.23000001907349,0.270000010728836,FALSE
"Lampanyctus_macdonaldi","Lampanyctus","macdonaldi","Rakery beaconlamp","7002",4775,NA,NA,16,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.1,0.3,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.09999990463257,0.300000011920929,TRUE
"Lampanyctus_nobilis","Lampanyctus","nobilis","Noble lampfish","7413",4479,NA,NA,12.3999996185303,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.12,0.28,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.11999988555908,0.280000001192093,TRUE
"Lampanyctus_photonotus","Lampanyctus","photonotus",NA,"15820",5951,NA,NA,8.5,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1800000667572,0.270000010728836,FALSE
"Lampanyctus_pusillus","Lampanyctus","pusillus","Pygmy lanternfish","623",4479,NA,NA,4.30000019073486,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.4,0.45,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.40000009536743,0.449999988079071,TRUE
"Lampetra_ayresii","Lampetra","ayresii","Western river lamprey","2522",5723,NA,NA,28.1000003814697,"TL","31.100000381469727","TL","20.5","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.5,0.8,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.5,0.800000011920929,TRUE
"Lampetra_richardsoni","Lampetra","richardsoni","Western brook lamprey","2528",5723,NA,NA,17.2999992370605,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plants/detritus+animals (troph. 2.2-2.79)",NA,NA,"NA","NA",2.44000005722046,0.23,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,2.44000005722046,0.230000004172325,TRUE
"Lasiognathus_beebei","Lasiognathus","beebei",NA,"50780",27827,NA,NA,NA,NA,"11.5","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.03,0.63,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.03000020980835,0.629999995231628,TRUE
"Lepidion_eques","Lepidion","eques","North Atlantic codling","2016",1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57999992370605,0.479999989271164,FALSE
"Lepidocybium_flavobrunneum","Lepidocybium","flavobrunneum","Escolar","1042",6181,NA,NA,200,"SL",NA,NA,"150","SL",NA,NA,45000,NA,3403,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.34,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.34000015258789,0.670000016689301,TRUE
"Lepidogobius_lepidus","Lepidogobius","lepidus","Bay goby","3882",2850,7,NA,10,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3199999332428,0.370000004768372,FALSE
"Lepidophanes_gaussi","Lepidophanes","gaussi",NA,"619",4479,NA,NA,5,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09999990463257,0.219999998807907,FALSE
"Lepidophanes_guentheri","Lepidophanes","guentheri","Günther’s lanternfish","6591",4479,1.20000004768372,NA,7.80000019073486,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600000023841858,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3,0,"Tentative trophic level derived from 1 + troph of a single food item",NA,3,0,TRUE
"Lepidopsetta_bilineata","Lepidopsetta","bilineata","Rock sole","24237",37594,26,NA,58,"TL","60","TL",NA,NA,NA,NA,1800,NA,56370,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.18,0.17,"Troph of juv./adults from 1 study.","37756",3.48,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.1800000667572,0.170000001788139,TRUE
"Lepidopsetta_polyxystra","Lepidopsetta","polyxystra","Northern rock sole","58882",37594,18,NA,69,"TL","49","FL",NA,NA,NA,NA,NA,NA,NA,4.19999980926514,NA,NA,1,"mainly animals (troph. 2.8 and up)",3.3,0.239,"Troph of juv./adults from 2 studies.","75092",NA,NA,"NA",NA,3.29999995231628,0.238999992609024,TRUE
"Lepisosteus_oculatus","Lepisosteus","oculatus","Spotted gar","1075",3814,18,NA,150,"TL",NA,NA,"100","TL",NA,NA,4440,NA,40637,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4,0.66,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4,0.660000026226044,TRUE
"Lepisosteus_osseus","Lepisosteus","osseus","Longnose gar","1076",3814,36,30,200,"TL",NA,NA,"17.5","TL",NA,NA,22820,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.19,0.73,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.19000005722046,0.730000019073486,TRUE
"Lepomis_auritus","Lepomis","auritus","Redbreast sunfish","3370",5723,NA,8,30.5,"TL",NA,NA,"10.75","TL",NA,NA,790,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.24,NA,"Troph of adults from 1 study.","33056",3.41,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.42000007629395,0.5,FALSE
"Lepomis_cyanellus","Lepomis","cyanellus","Green sunfish","3371",5723,9,7.5,31,"TL",NA,NA,"20","TL",NA,NA,960,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.49,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.49000000953674,0.479999989271164,TRUE
"Lepomis_gibbosus","Lepomis","gibbosus","Pumpkinseed","3372",86798,12,13,40,"TL",NA,NA,"9.899999618530273","TL",NA,NA,630,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.25,0.099,"Troph of juv./adults from 4 studies.","13433",3.27,0.46,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.25,0.0989999994635582,TRUE
"Lepomis_gulosus","Lepomis","gulosus","Warmouth","3373",3814,NA,NA,31,"TL",NA,NA,NA,NA,NA,NA,1110,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.35,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.34999990463257,0.5,TRUE
"Lepomis_macrochirus","Lepomis","macrochirus","Bluegill","3375",5723,10,8.17000007629395,41,"TL",NA,NA,"19.049999237060547","TL",NA,NA,2150,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.24,0.162,"Troph of juv./adults from 2 studies.","28088",3.53,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.24000000953674,0.162000000476837,TRUE
"Lepomis_peltastes","Lepomis","peltastes","Northern sunfish","66682",86798,NA,NA,14.8000001907349,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.30999994277954,0.479999989271164,FALSE
"Lepophidium_profundorum","Lepophidium","profundorum","Blackrim cusk-eel","5420",91765,NA,NA,27,"TL",NA,NA,"22","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.52,0.138,"Troph of adults from 4 studies.","37512",NA,NA,"NA",NA,3.51999998092651,0.137999996542931,TRUE
"Leptacanthichthys_gracilispinis","Leptacanthichthys","gracilispinis","Plainchin dreamarm","54587",12204,NA,NA,0.800000011920929,"SL","6.900000095367432","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,3.60999989509583,0.579999983310699,FALSE
"Leptagonus_decagonus","Leptagonus","decagonus","Atlantic poacher","4154",4700,NA,NA,21,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.22,0.35,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.22000002861023,0.349999994039536,TRUE
"Leptoclinus_maculatus","Leptoclinus","maculatus","Daubed shanny","3788",2850,NA,NA,20,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1000003814697,NA,NA,2,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","75133",3.28,0.39,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.27999997138977,0.389999985694885,TRUE
"Leptocottus_armatus","Leptocottus","armatus","Pacific staghorn sculpin","4112",2850,10,NA,46,"TL",NA,NA,"35.5","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","13788",3.68,0.64,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.6800000667572,0.639999985694885,TRUE
"Leptostomias_gladiator","Leptostomias","gladiator",NA,"11769",4468,NA,NA,37.2999992370605,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.2,0.73,"Tentative trophic level derived from 1 + troph of a single food item",NA,4.19999980926514,0.730000019073486,TRUE
"Lestidiops_affinis","Lestidiops","affinis","Barracudina","16551",4473,NA,NA,11.1999998092651,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.2,0.73,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.19999980926514,0.730000019073486,TRUE
"Lestidiops_jayakari","Lestidiops","jayakari","Pacific barracudina","12415",4473,NA,NA,20,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23000001907349,0.660000026226044,FALSE
"Lestidiops_ringens","Lestidiops","ringens","Slender barracudina","11599",2850,NA,NA,21,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60000002384186,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.05,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.05000019073486,0.550000011920929,TRUE
"Lethenteron_appendix","Lethenteron","appendix","American brook lamprey","2521",86798,5,0.5,35,"TL",NA,NA,"15.550000190734863","TL",NA,NA,NA,NA,NA,9.19999980926514,NA,NA,1,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,3.55999994277954,0.389999985694885,FALSE
"Lethenteron_camtschaticum","Lethenteron","camtschaticum","Arctic lamprey","2524",13696,7,NA,63,"TL",NA,NA,"16.049999237060547","TL",NA,NA,200,NA,56557,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.5,0.81,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.5,0.810000002384186,TRUE
"Leucoraja_erinacea","Leucoraja","erinacea","Little skate","2557",27314,12,NA,54,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.61,0.131,"Troph of adults from 3 studies.","37512",3.1,0.3,"Tentative trophic level derived from 1 + troph of a single food item","12692",3.60999989509583,0.130999997258186,TRUE
"Leucoraja_ocellata","Leucoraja","ocellata","Winter skate","2562",27314,20.7999992370605,NA,110,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.43,0.514,"Troph of adults from 2 studies.","37512",3.61,0.56,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.42999982833862,0.513999998569489,TRUE
"Leuroglossus_schmidti","Leuroglossus","schmidti","Northern smoothtongue","9462",6793,NA,NA,20,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.12,NA,"Troph of adults from 1 study.","42205",3.33,0.34,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.41000008583069,0.439999997615814,FALSE
"Limanda_aspera","Limanda","aspera","Yellowfin sole","520",30193,34,NA,49,"TL",NA,NA,"33.5","TL",NA,NA,1700,NA,56527,7.80000019073486,6.5,11,14,"mainly animals (troph. 2.8 and up)",3.49,0.079,"Troph of juv./adults from 5 studies.","12046",3.66,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.49000000953674,0.0790000036358833,TRUE
"Limanda_ferruginea","Limanda","ferruginea","Yellowtail flounder","521",30193,12,NA,64,"TL",NA,NA,NA,NA,NA,NA,1500,NA,9988,3.29999995231628,NA,NA,1,"mainly animals (troph. 2.8 and up)",3.28,0.144,"Troph of juv./adults from 3 studies.","9000",3.03,0.14,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.27999997138977,0.143999993801117,TRUE
"Limanda_proboscidea","Limanda","proboscidea","Longhead dab","4243",30193,NA,NA,40,"SL",NA,NA,"17.5","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.1,0.171,"Troph of juv./adults from 2 studies.","37756",3.2,0.35,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.09999990463257,0.171000003814697,TRUE
"Linophryne_algibarbata","Linophryne","algibarbata",NA,"27743",12462,NA,NA,4.09999990463257,"TL","23.100000381469727","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03999996185303,0.649999976158142,FALSE
"Linophryne_bicornis","Linophryne","bicornis",NA,"63334",58034,NA,NA,3,"SL","18.5","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03000020980835,0.649999976158142,FALSE
"Linophryne_coronata","Linophryne","coronata",NA,"17022",10762,NA,NA,2.59999990463257,"SL","22.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,3.74000000953674,0.600000023841858,FALSE
"Linophryne_macrodon","Linophryne","macrodon",NA,"59199",42949,NA,NA,2.15000009536743,"SL","9.100000381469727","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73000001907349,0.600000023841858,FALSE
"Liparis_atlanticus","Liparis","atlanticus","Atlantic seasnail","4186",79981,NA,NA,13,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.28,0.53,"Troph of juv./adults from 1 study.","37512",3.28,0.39,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.27999997138977,0.529999971389771,TRUE
"Liparis_callyodon","Liparis","callyodon","Spotted snailfish","4187",79981,NA,NA,12.6999998092651,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.35,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.34999990463257,0.509999990463257,TRUE
"Liparis_coheni","Liparis","coheni","Gulf snailfish","4188",7251,NA,NA,11.8000001907349,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40000009536743,0.540000021457672,FALSE
"Liparis_cyclopus","Liparis","cyclopus","Ribbon snailfish","4189",79981,NA,NA,11.3999996185303,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39000010490417,0.540000021457672,FALSE
"Liparis_dennyi","Liparis","dennyi","Marbled snailfish","4191",2850,NA,NA,30.5,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.5,0.5,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.5,0.5,TRUE
"Liparis_fabricii","Liparis","fabricii","Gelatinous snailfish","15490",9925,NA,NA,21,"TL","12.699999809265137","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.33,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.32999992370605,0.419999986886978,TRUE
"Liparis_florae","Liparis","florae","Tidepool snailfish","4192",79981,NA,NA,18.2999992370605,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0.560000002384186,FALSE
"Liparis_fucensis","Liparis","fucensis","Slipskin snailfish","4193",79981,NA,NA,18,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.55,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.54999995231628,0.550000011920929,TRUE
"Liparis_gibbus","Liparis","gibbus","Variegated snailfish","4190",3814,NA,NA,52,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.74,0.329,"Troph of juv./adults from 2 studies.","56599",3.19,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.74000000953674,0.328999996185303,TRUE
"Liparis_inquilinus","Liparis","inquilinus","Inquiline snailfish","4195",7251,NA,NA,7.09999990463257,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400000005960464,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.285,0.53,"Tentative trophic level derived from 1 + troph of a single food item","12692",3.28500008583069,0.529999971389771,TRUE
"Liparis_liparis","Liparis","liparis","Striped seasnail","1378",169,NA,NA,15,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.59,0.58,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.58999991416931,0.579999983310699,TRUE
"Liparis_mucosus","Liparis","mucosus","Slimy snailfish","4197",2850,NA,NA,13,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42000007629395,0.550000011920929,FALSE
"Liparis_pulchellus","Liparis","pulchellus","Showy snailfish","4198",2850,NA,NA,25,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70000004768372,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.62,0.56,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.61999988555908,0.560000002384186,TRUE
"Liparis_rutteri","Liparis","rutteri","Ringtail snailfish","4199",50520,NA,NA,7,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",NA,NA,"NA",NA,3.32999992370605,0.529999971389771,FALSE
"Liparis_tunicatus","Liparis","tunicatus","Kelp snailfish","4200",7251,NA,NA,16,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.5,0.5,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.5,0.5,TRUE
"Lipariscus_nanus","Lipariscus","nanus","Pygmy snailfish","24134",28160,NA,NA,6.30000019073486,"SL","7.099999904632568","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.30999994277954,0.509999990463257,FALSE
"Lipogenys_gillii","Lipogenys","gillii",NA,"4506",11041,NA,NA,50,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.5,0.37,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.5,0.370000004768372,TRUE
"Lipolagus_ochotensis","Lipolagus","ochotensis","Eared blacksmelt","12542",559,NA,NA,17.2999992370605,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.3,NA,"Troph of adults from 1 study.","28107",NA,NA,"NA",NA,3.34999990463257,0.439999997615814,FALSE
"Lobianchia_dofleini","Lobianchia","dofleini","Dofleini's lantern fish","1794",4479,NA,NA,5,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.800000011920929,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.02,0.11,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.01999998092651,0.109999999403954,TRUE
"Lobianchia_gemellarii","Lobianchia","gemellarii","Cocco's lantern fish","1795",4479,NA,NA,6,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3,0,"Tentative trophic level derived from 1 + troph of a single food item",NA,3,0,TRUE
"Lophius_americanus","Lophius","americanus","American angler","532",7251,30,NA,120,"TL",NA,NA,"90","TL",NA,NA,22560,NA,40637,11.6000003814697,NA,NA,2,"mainly animals (troph. 2.8 and up)",4.51,0.298,"Troph of adults from 4 studies.","37512",NA,NA,"NA",NA,4.51000022888184,0.298000007867813,TRUE
"Lophodolos_acanthognathus","Lophodolos","acanthognathus","Whalehead dreamer","16302",10523,NA,NA,NA,NA,"7.900000095367432","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57999992370605,0.569999992847443,FALSE
"Lopholatilus_chamaeleonticeps","Lopholatilus","chamaeleonticeps","Great northern tilefish","362",3276,35,NA,125,"TL","95","FL","90","TL",NA,NA,30000,NA,9988,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.85,0.2,"Troph of juv./adults from 1 study.","37512",3.5,0.6,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.84999990463257,0.200000002980232,TRUE
"Lota_lota","Lota","lota","Burbot","310",1371,20,5,152,"TL",NA,NA,"40","TL",NA,NA,34000,NA,27547,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.84,0.201,"Troph of juv./adults from 2 studies.","13439",4.05,0.81,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.83999991416931,0.20100000500679,TRUE
"Loweina_rara","Loweina","rara","Laura's lantern fish","7427",5572,NA,NA,4.5,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1800000667572,0.370000004768372,FALSE
"Lumpenella_longirostris","Lumpenella","longirostris","Longsnout prickleback","3785",2850,8,NA,42,"TL",NA,NA,NA,NA,NA,NA,150,NA,56527,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.1,0.24,"Troph of juv./adults from 1 study.","75088",3,0,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.09999990463257,0.239999994635582,TRUE
