IUCN_ID_NO,LPI,CommonName,ScientificName,BinomialName,RedListCategory,Area_km2,Clip_area_km2,Proportion_CAN,Range_CAN
22693494,Y,Red Phalarope,Phalaropus fulicarius,Phalaropus_fulicarius,Least Concern,15669849.89,1821794.21,0.116261,11.626111
22693717,Y,American Avocet,Recurvirostra americana,Recurvirostra_americana,Least Concern,6016953.575,350651.5872,0.058277,5.827726
22693740,Y,American Golden Plover,Pluvialis dominica,Pluvialis_dominica,Least Concern,28688096,6642011.692,0.231525,23.152501
22693749,Y,Grey Plover,Pluvialis squatarola,Pluvialis_squatarola,Least Concern,15209490.1,2245113.817,0.147613,14.761269
22693764,Y,Semipalmated Plover,Charadrius semipalmatus,Charadrius_semipalmatus,Least Concern,17838045.81,8916925.738,0.499882,49.988243
22693777,Y,Killdeer,Charadrius vociferus,Charadrius_vociferus,Least Concern,16664328.01,5005704.906,0.300384,30.038444
22693811,Y,Piping Plover,Charadrius melodus,Charadrius_melodus,Near Threatened,5034358.59,374260.9347,0.074341,7.434133
22694240,Y,Pomarine Jaeger,Stercorarius pomarinus,Stercorarius_pomarinus,Least Concern,84040956.35,1941976.82,0.023108,2.310751
22694245,Y,Arctic Jaeger,Stercorarius parasiticus,Stercorarius_parasiticus,Least Concern,21928577.53,2452835.495,0.111856,11.185566
22694251,Y,Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius_longicaudus,Least Concern,58036171.14,2544274.237,0.043839,4.383946
22694308,Y,Mew Gull,Larus canus,Larus_canus,Least Concern,45580677.83,3251337.213,0.071331,7.133148
22694317,Y,Ring-billed Gull,Larus delawarensis,Larus_delawarensis,Least Concern,13105557.99,3514014.165,0.268132,26.813159
22694321,Y,California Gull,Larus californicus,Larus_californicus,Least Concern,6058275.97,1801331.218,0.297334,29.733397
22694324,Y,Great Black-backed Gull,Larus marinus,Larus_marinus,Least Concern,12819632.13,2255113.226,0.175911,17.591092
22694334,Y,Glaucous-winged Gull,Larus glaucescens,Larus_glaucescens,Least Concern,6471484.695,514613.5776,0.07952,7.952017
22694337,Y,Western Gull,Larus occidentalis,Larus_occidentalis,Least Concern,157431.0087,19710.87962,0.125203,12.520329
22694343,Y,Glaucous Gull,Larus hyperboreus,Larus_hyperboreus,Least Concern,8106207.191,2580527.421,0.31834,31.833968
22694373,Y,Lesser Black-backed Gull,Larus fuscus,Larus_fuscus,Least Concern,47986833.19,914803.1041,0.019064,1.906363
22694420,Y,Black-headed Gull,Larus ridibundus,Larus_ridibundus,Least Concern,44455173.96,1281980.566,0.028838,2.88376
22694432,Y,Bonaparte's Gull,Larus philadelphia,Larus_philadelphia,Least Concern,15309349.23,5442648.028,0.355511,35.551139
22694462,Y,Franklin's Gull,Larus pipixcan,Larus_pipixcan,Least Concern,8491094.609,1353499.171,0.159402,15.94022
22694473,Y,Ivory Gull,Pagophila eburnea,Pagophila_eburnea,Near Threatened,19300242.5,3634229.055,0.1883,18.829966
22694476,Y,Ross's Gull,Rhodostethia rosea,Rhodostethia_rosea,Least Concern,3404017.591,30870.20304,0.009069,0.906876
22694479,Y,Sabine's Gull,Xema sabini,Xema_sabini,Least Concern,60360562.47,2450586.29,0.040599,4.059913
22694497,Y,Black-legged Kittiwake,Rissa tridactyla,Rissa_tridactyla,Vulnerable,44643121.06,2746609.432,0.061524,6.152369
22694524,Y,Caspian Tern,Hydroprogne caspia,Hydroprogne_caspia,Least Concern,13933342.71,277051.7483,0.019884,1.988408
22694601,Y,Roseate Tern,Sterna dougallii,Sterna_dougallii,Least Concern,34613490.67,15555.61147,0.000449,0.044941
22694623,Y,Common Tern,Sterna hirundo,Sterna_hirundo,Least Concern,51309061.02,4149974.776,0.080882,8.088191
