Ordnum	Order	OrderRefNo	SortNo	Synonym	AuthorYear	CommonName	BodyShapeI	Marine	Brackish	Freshwater	WaterSalinity	FamCount	SpeciesCount	EtymologyOrder	ClassNum	Class	ClassificationRemark	PhylogenyFamilies	PhylFamOrderRefNo	PhylogenyPostion	PhylPosOrderRefNo	SisterOrder	ComAncestor	ComAncRef1	ComAncRef2	PeriodRange	Period	EpochRange	Epoch	Complete	Remark	CAS_LIN	ZooBank_ID	Entered	DateEntered	Modified	DateModified	Expert	DateChecked	CommonName_German	CommonName_French	CommonName_Italian	CommonName_Spanish	CommonName_Portuguese	CommonName_Dutch	CommonName_Chinese	CommonName_Chinese_u	CommonName_Greek	CommonName_Greek_u	CommonName_Russian_u	CommonName_Russian	CommonName_Swedish	Class_Russian	EtymologyClass	TS
Only two species occur in true marine waters as diadromous species, <i>Tribolodon brandtii</i> (Dybowski, 1872) and <i>Tribolodon sachalinensis</i> (Nikolskii, 1889).	NA	NA	1	1999-12-11T00:00:00Z	303	1999-12-15T00:00:00Z	NA	NA	Karpfenartige	Carpes et poissons blancs	Cipriniformi	NA	Carpas	Karperachtigen	NA	NA	????????????	&#922;&#965;&#960;&#961;&#953;&#957;&#972;&#956;&#959;&#961;&#966;&#945;	&#1082;&#1072;&#1088;&#1087;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	?????????????	karpartade fiskar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
50	Cyprinodontiformes	7463	13501	0	NA	rivulines, killifishes and live bearers	NA	-1	-1	-1	Mostly Freshwater	14	1351	Greek, kyprinos = goldfish + Greek, odous = tooth, teeth + Latin, forma = shape (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Cyprinodontiformes.	NA	NA	NA	NA	Beloniformes	45	30652	30649	early	Tertiary	middle	Eocene	0	Monophyly of this order is recognized on the basis of several derived characters: e.g., caudal fin symmetrical, supported internally by one epural; first pleural rib on second vertebrae rather than third; primitively, low-set pectoral girdle with a scalelike postcleithrum; an alveolar arm of the premaxillae; extended developmental period. In addition, they possess the following characters: lateral line canal and pores chiefly on head, lateral line represented on body only by pitted scales; narial opening paired; branchiostegal rays 3-7; pelvic fins and girdle present or absent; upper jaw bordered by premaxilla only, protrusible; vomer usually present and supracleithrum always present; metapterygoid usually absent and ectopterygoid always absent; parietals present or absent; vertebrae 24-54. Marked sexual dimorphism with the males often brightly colored.	NA	NA	1	1999-12-11T00:00:00Z	2	2000-04-11T00:00:00Z	NA	NA	Zahnkärpflinge	Gambusies, guppys, killis et mollys	Cprinodontiformi	NA	Gambusinos	Tandkarpers	NA	NA	?????????????????	&#922;&#965;&#960;&#961;&#953;&#957;&#959;&#948;&#959;&#957;&#964;&#972;&#956;&#959;&#961;&#966;&#945;	&#1082;&#1072;&#1088;&#1087;&#1086;&#1079;&#1091;&#1073;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	?????????????????	tandkarpar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
85	Dactylopteriformes	NA	12871	0	NA	NA	NA	-1	-1	0	All Marine	2	13	NA	6	Actinopteri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	303	2020-02-19T00:00:00Z	NA	NA	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	Echinorhiniformes	123477	10333	0	NA	bramble sharks	elongated	-1	0	0	All Marine	1	2	NA	4	Elasmobranchii	NA	NA	NA	NA	NA	Squatiniformes	155	30654	NA	late	Jurassic	NA	NA	-1	Two dorsal fins, with or without spines; anal fin absent; five gill slits; spiracles present; nictitating lower eyelid absent. Many species are known from deep water.	NA	NA	1	1999-12-11T00:00:00Z	14	1999-12-11T00:00:00Z	303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	Elassomatiformes	92516	NA	-1	NA	pygmy sunfishes	NA	0	0	-1	all freshwater	1	7	Greek, elasson = smaller + Greek, soma = body (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Elassomatiformes.	NA	NA	NA	NA	Gasterosteiformes	NA	NA	NA	NA	NA	NA	NA	0	Elassomatidae sister family of Centrarchidae in Perciformes (Near <i>et al.</i>, 2012: Ref. 92516).

Distribution:  Native range: North America, eastern USA.   

Elassomatiformes comprise the single family Elassomatidae, characterized by a mosaic of reductive characters that makes problematic their phylogenetic position (see Wiley & Jihnson, 2010: Ref. 84927 who keep them in a separated order).  For that reason, they are retain in Perciformes in their own suborder in Nelson (2006: Ref. 58010).  

Short description:  
Dorsal fi n originating between pectoral and anal fins, with 3-5 spines and 8-13 soft rays;  anal fin with 3 spines and 4-8 soft rays;  principal caudal fi n rays 14 or 15;  5 branchiostegals rays;  numerous reductions in laterosensory system (e. g., no lateral line on body).	NA	NA	303	2010-04-29T00:00:00Z	303	2013-01-02T00:00:00Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	Elopiformes	7463	10666	0	NA	tarpons and tenpounders	fusiform / normal	-1	-1	-1	Marine and Freshwater	2	9	Greek, ellops = a kind of serpent + Latin, forma = shape (Ref. 45335).	6	Actinopteri	In Wiley & Johnson (2010: Ref. 84927):  Elopiformes.	NA	NA	NA	NA	Albuliformes	140	30656	30649	early	Cretaceous	NA	NA	-1	Pelvic fins abdominal; body slender, usually compressed; gill openings wide; caudal fin deeply forked; caudal fin with seven hypurals; scales cycloid; mesocoracoid and postcleithra present; gular plate well developed (median); branchiostegal rays 23-35; mouth bordered by premaxilla and toothed maxilla; upper jaw extending past eye; tip of snout not overhanging mouth (mouth terminal or superior); no sensory canal extending onto the small premaxilla. Leptocephali small, maximum length about 5 cm, with a well-developed, forked, caudal fin, a posterior dorsal fin (pelvic fins in older larvae), and about 53-86 myomeres.	NA	NA	1	1999-12-11T00:00:00Z	2	1999-12-14T00:00:00Z	NA	NA	Tarponähnliche	Tarpons	Elopiformi	NA	Tarpões	Tarponachtigen	NA	NA	NA	NA	&#1090;&#1072;&#1088;&#1087;&#1086;&#1085;&#1086;&#1086;&#1073;&#1088;&#1072;&#1079;&#1085;&#1099;&#1077;	???????????????	tarponartade fiskar	&#1083;&#1091;&#1095;&#1077;&#1087;&#1077;&#1088;&#1099;&#1077;	Greek aktis = ray, thunderbolt, beam + Greek pterygion, diminutive of pteryx = wing, fin. Ref. 45335.	NA
