"","Binomial","BodySize","TrophicLevel","LifeSpan","lpi"
"147","Perognathus_parvus",21.78,"omnivore",5.8,"C-LPI"
"148","Callospermophilus_lateralis",191,"omnivore",10.4,"C-vertebrates"
"149","Callospermophilus_saturatus",NA,NA,NA,"C-vertebrates"
"150","Cynomys_ludovicianus",1364,"herbivore",18,"C-LPI"
"151","Glaucomys_sabrinus",166,"herbivore",14.2,"C-LPI"
"152","Glaucomys_volans",63.87,"herbivore",19,"C-vertebrates"
"153","Ictidomys_tridecemlineatus",131.67,"omnivore",7.9,"C-vertebrates"
"154","Marmota_caligata",7230.03,"herbivore",12.05833333,"C-vertebrates"
"155","Marmota_flaviventris",3349.96,"herbivore",21.2,"C-vertebrates"
"156","Marmota_monax",3801.72,"herbivore",14,"C-vertebrates"
"157","Marmota_vancouverensis",6299.99,"herbivore",12.1,"C-LPI"
"158","Neotamias_amoenus",NA,NA,NA,"C-LPI"
"159","Neotamias_minimus",NA,NA,NA,"C-LPI"
"160","Neotamias_ruficaudus",NA,NA,NA,"C-vertebrates"
"161","Neotamias_townsendii",NA,NA,NA,"C-vertebrates"
"162","Poliocitellus_franklinii",363,"omnivore",7.2,"C-LPI"
"163","Sciurus_carolinensis",506.5,"herbivore",24,"C-vertebrates"
"164","Sciurus_niger",761.9,"herbivore",16,"C-vertebrates"
"165","Tamias_striatus",111.91,"omnivore",9.5,"C-LPI"
"166","Tamiasciurus_douglasii",225,"omnivore",5.491666667,"C-LPI"
"167","Tamiasciurus_hudsonicus",201.17,"omnivore",12,"C-LPI"
"168","Urocitellus_columbianus",493,"omnivore",4.241666667,"C-LPI"
"169","Urocitellus_parryii",NA,NA,NA,"C-LPI"
"170","Urocitellus_richardsonii",406,"omnivore",6,"C-vertebrates"
"171","Blarina_brevicauda",28,"omnivore",2.75,"C-LPI"
"172","Sorex_arcticus",8.15,"carnivore",1.5,"C-vertebrates"
"173","Sorex_bendirii",16.1,"carnivore",NA,"C-vertebrates"
"174","Sorex_cinereus",4.66,"carnivore",2.5,"C-LPI"
"175","Sorex_dispar",5,"carnivore",NA,"C-vertebrates"
"176","Sorex_fumeus",7.7,"carnivore",1.416666667,"C-vertebrates"
"177","Sorex_haydeni",3.5,"carnivore",2.5,"C-vertebrates"
"178","Sorex_hoyi",2.58,"carnivore",0.583333333,"C-vertebrates"
"179","Sorex_maritimensis",6.05,"carnivore",1.5,"C-vertebrates"
"180","Sorex_merriami",5.9,"carnivore",NA,"C-vertebrates"
"181","Sorex_minutissimus",2.51,"carnivore",NA,"C-vertebrates"
"182","Sorex_monticolus",5.25,"carnivore",2.083333333,"C-LPI"
"183","Sorex_navigator",NA,NA,NA,"C-vertebrates"
"184","Sorex_palustris",13.45,"carnivore",1.5,"C-vertebrates"
"185","Sorex_preblei",3.1,"carnivore",NA,"C-vertebrates"
"186","Sorex_rohweri",NA,NA,NA,"C-vertebrates"
"187","Sorex_trowbridgii",3.8,"carnivore",1.5,"C-vertebrates"
"188","Sorex_tundrensis",7.73,"carnivore",1.5,"C-vertebrates"
"189","Sorex_ugyunak",3.6,"carnivore",2.5,"C-vertebrates"
"190","Sorex_vagrans",5.9,"carnivore",2.083333333,"C-LPI"
"191","Condylura_cristata",84,"carnivore",3,"C-vertebrates"
"192","Neurotrichus_gibbsii",8.9,"omnivore",NA,"C-vertebrates"
"193","Parascalops_breweri",51,"carnivore",5,"C-vertebrates"
"194","Scalopus_aquaticus",91.26,"carnivore",6.2,"C-vertebrates"
"195","Scapanus_orarius",61.2,"carnivore",3,"C-vertebrates"
"196","Scapanus_townsendii",141.7,"carnivore",NA,"C-vertebrates"
"197","Antilocapra_americana",46082.92,"herbivore",15.5,"C-vertebrates"
"198","Bos_bison",NA,NA,NA,"C-vertebrates"
"199","Oreamnos_americanus",72500.33,"herbivore",20.8,"C-vertebrates"
"200","Ovis_canadensis",74644.88,"herbivore",24,"C-vertebrates"
"201","Ovis_dalli",55650.62,"herbivore",24,"C-vertebrates"
"202","Alces_americanus",541460.44,"herbivore",27,"C-vertebrates"
"203","Cervus_canadensis",NA,NA,NA,"C-vertebrates"
"204","Odocoileus_hemionus",54212.57,"herbivore",22,"C-vertebrates"
