"","Binomial","BodySize","LifeSpan","TrophicLevel","lpi"
"212","Corvus_caurinus",295.75,16.75,"omnivore","C-LPI"
"213","Corvus_corax",1097,69,"omnivore","C-LPI"
"214","Cyanocitta_cristata",85.25,26.2,"omnivore","C-LPI"
"215","Cyanocitta_stelleri",120,16.1,"omnivore","C-LPI"
"216","Nucifraga_columbiana",130,17.41666667,"herbivore","C-LPI"
"217","Perisoreus_canadensis",71.1,19.2,"omnivore","C-LPI"
"218","Pica_hudsonia",189,21.7,"omnivore","C-LPI"
"219","Ammodramus_bairdii",17.9,4.6,"herbivore","C-LPI"
"220","Ammodramus_henslowii",12.775,7,"omnivore","C-LPI"
"221","Ammodramus_leconteii",13.4,4.083333333,"herbivore","C-vertebrates"
"222","Ammodramus_nelsoni",16.825,10,"carnivore","C-LPI"
"223","Ammodramus_savannarum",17.9,9.083333333,"carnivore","C-LPI"
"224","Calamospiza_melanocorys",37.4,4.833333333,"omnivore","C-LPI"
"225","Calcarius_lapponicus",28,6,"omnivore","C-LPI"
"226","Calcarius_ornatus",20.125,4,"herbivore","C-LPI"
"227","Calcarius_pictus",26.4,5,"omnivore","C-LPI"
"228","Chondestes_grammacus",28.52475,7.833333333,"herbivore","C-LPI"
"229","Junco_hyemalis",19.475,11.33333333,"herbivore","C-LPI"
"230","Melospiza_georgiana",16.7875,6.5833333335,"omnivore","C-LPI"
"231","Melospiza_lincolnii",17.4,7.6,"omnivore","C-LPI"
"232","Melospiza_melodia",23.35,12,"omnivore","C-LPI"
"233","Passerculus_sandwichensis",20.125,6.916666667,"omnivore","C-LPI"
"234","Passerella_iliaca",33.8,10.33333333,"omnivore","C-LPI"
"235","Pipilo_erythrophthalmus",40.3,12.3,"omnivore","C-LPI"
"236","Pipilo_maculatus",39.85,12.3,"carnivore","C-LPI"
"237","Plectrophenax_nivalis",40.33333333,9.6,"herbivore","C-LPI"
"238","Pooecetes_gramineus",25.15,7.9,"omnivore","C-LPI"
"239","Spizella_arborea",NA,NA,"omnivore","C-LPI"
"240","Spizella_breweri",10.9,6.2,"omnivore","C-LPI"
"241","Spizella_pallida",11.7,6.916666667,"herbivore","C-LPI"
"242","Spizella_passerina",12.3,11.8,"omnivore","C-LPI"
"243","Spizella_pusilla",12.8,10.33333333,"herbivore","C-LPI"
"244","Zonotrichia_albicollis",25.35,14.91666667,"omnivore","C-LPI"
"245","Zonotrichia_atricapilla",31.625,10.5,"omnivore","C-LPI"
"246","Zonotrichia_leucophrys",27.96,13.34,"carnivore","C-LPI"
"247","Zonotrichia_querula",35.55,11.7,"omnivore","C-LPI"
"248","Fringilla_montifringilla",22.925,14.8,"omnivore","C-vertebrates"
"249","Leucosticte_tephrocotis",32.6,24,"omnivore","C-LPI"
"250","Loxia_curvirostra",39.5,16.08333333,"herbivore","C-LPI"
"251","Loxia_leucoptera",29.8,4,"omnivore","C-LPI"
"252","Pinicola_enucleator",57,9.8,"omnivore","C-LPI"
"253","Hirundo_rustica",19,16,"carnivore","C-LPI"
"254","Petrochelidon_pyrrhonota",22.4,11.83333333,"carnivore","C-LPI"
"255","Progne_subis",51.45,13.8,"carnivore","C-LPI"
"256","Riparia_riparia",13.4,10,"carnivore","C-LPI"
"257","Stelgidopteryx_serripennis",15.8,5.916666667,"carnivore","C-LPI"
"258","Tachycineta_bicolor",20.8,12.1,"carnivore","C-LPI"
"259","Tachycineta_thalassina",14.15,9.083333333,"carnivore","C-LPI"
"260","Agelaius_phoeniceus",54,20,"herbivore","C-LPI"
"261","Dolichonyx_oryzivorus",34.45,9,"herbivore","C-LPI"
"262","Euphagus_carolinus",60.4,8.8,"omnivore","C-LPI"
"263","Euphagus_cyanocephalus",62.65,12.5,"carnivore","C-LPI"
"264","Icterus_bullockii",35.225,14,"carnivore","C-LPI"
"265","Icterus_galbula",33.9,14,"carnivore","C-LPI"
"266","Icterus_spurius",20.05,10.91666667,"carnivore","C-LPI"
"267","Molothrus_ater",42.55,16.91666667,"carnivore","C-LPI"
"268","Quiscalus_quiscula",111,23.1,"omnivore","C-LPI"
"269","Sturnella_magna",91.855,12.6,"carnivore","C-LPI"
"270","Sturnella_neglecta",97.7,10,"carnivore","C-LPI"
"271","Xanthocephalus_xanthocephalus",72.5,18,"herbivore","C-LPI"
"272","Lanius_excubitor",63.98333334,16.1,"carnivore","C-LPI"
"273","Lanius_ludovicianus",47.225,12.5,"carnivore","C-LPI"
"274","Dumetella_carolinensis",35.35,17.91666667,"carnivore","C-LPI"
"275","Mimus_polyglottos",48.5,20,"omnivore","C-LPI"
"276","Oreoscoptes_montanus",44.225,NA,"carnivore","C-vertebrates"
"277","Toxostoma_rufum",68.65,12.834,"carnivore","C-LPI"
"278","Anthus_rubescens",21.18333333,8.916666667,"carnivore","C-LPI"
